# timestamp: 2022/07/26-21:43:47
# script_parameters: {'runtime_per_epoch': 40, 'readout_noise': 0.014142135623730952, 'length_oc': 9.900000000000001e-08, 'is_noisy': True, 'generate_parameters': {'name': 'oc_nrep', 'n_start': 1, 'n_step': 1, 'num_of_points': 8, 'filename_amplitude': 'on_nv=2_amplitude.txt', 'filename_phase': 'on_nv=2_phase.txt', 'folder_path': 'C:\\Software\\qudi_data\\optimal_control_assets', 't_gap': 1.1904761904761904e-07, 'vs_rect_pulse': False, 'alternating': True, 'experiment': 'oc_nrep'}, 'fom_function': <function add_penalty_freq_bandstop.<locals>.extend_fom at 0x000000F4B6A572F0>, 'pulsed_generation_params': OrderedDict([('laser_channel', 'd_ch4'), ('sync_channel', 'd_ch1'), ('gate_channel', 'd_ch3'), ('microwave_channel', 'a_ch1'), ('microwave_frequency', 2628560000.0), ('microwave_amplitude', 0.24), ('rabi_period', 4.96e-08), ('laser_length', 3e-06), ('laser_delay', 5e-07), ('wait_time', 1e-06), ('analog_trigger_voltage', 0.0)]), 'pulsed_settings': {'invoke_settings': True}, 'pulsed_analysis_settings': {'signal_start': 8.042105263157894e-07, 'signal_end': 1.6042105263157894e-06, 'norm_start': 2.6989473684210524e-06, 'norm_end': 3.4989473684210524e-06, 'method': 'mean_norm'}, 'pulsed_extraction_settings_settings': {'method': 'pass_through'}}
# optimization_client_name: test_dCRAB_Noisy_2_control_fields
# opti_algorithm_module: quocslib.optimalalgorithms.dCRABNoisyAlgorithm
# opti_algorithm_class: DCrabNoisyAlgorithm
# algorithm_settings: {'algorithm_name': 'dCRAB', 'super_iteration_number': 10000000, 'FoM_goal': 1e-05, 'total_time_lim': 2880, 'compensate_drift': {'compensate_after_SI': True, 'compensate_after_minutes': 15}, 'random_number_generator': {'seed_number': 420}, 'dsm_settings': {'general_settings': {'dsm_algorithm_name': 'NelderMead', 'is_adaptive': False, 'dsm_algorithm_module': None, 'dsm_algorithm_class': None, 'parallelization': False}, 'stopping_criteria': {'time_lim': 90, 'change_based_stop': {'cbs_funct_evals': 500, 'cbs_change': 0.01}, 'total_time_lim': 2880, 'k3': 3, 'max_eval': 10000000000, 'xatol': 1e-14, 'frtol': 1e-13}}, 'algorithm_attribute': None, 'algorithm_module': None, 'algorithm_class': None, 'max_eval_total': 10000000000, 'optimization_direction': 'minimization'}
# times: [{'time_name': 'time_p', 'initial_value': 1.0000000000000001e-07}]
# pulses: [{'pulse_name': 'Amplitude', 'upper_limit': 0.25, 'lower_limit': -0.25, 'bins_number': 2000, 'time_name': 'time_p', 'amplitude_variation': 0.03096, 'basis': {'basis_name': 'Fourier', 'basis_class': 'Fourier', 'basis_module': 'quocslib.pulses.basis.Fourier', 'basis_vector_number': 2, 'random_super_parameter_distribution': {'distribution_name': 'Uniform', 'distribution_class': 'Uniform', 'distribution_module': 'quocslib.pulses.superparameter.Uniform', 'lower_limit': 0.0, 'upper_limit': 10, 'distribution_attribute': None}, 'basis_attribute': None}, 'scaling_function': {'function_type': 'lambda_function', 'lambda_function': 'lambda t: 1.0 + 0.0*t'}, 'initial_guess': {'function_type': 'list_function', 'list_function': array([0.10549502, 0.10536259, 0.10522768, ..., 0.01874905, 0.01839079,
#        0.01803488])}, 'shrink_ampl_lim': True}, {'pulse_name': 'Phase', 'upper_limit': 0.25, 'lower_limit': -0.25, 'bins_number': 2000, 'time_name': 'time_p', 'amplitude_variation': 0.03096, 'basis': {'basis_name': 'Fourier', 'basis_class': 'Fourier', 'basis_module': 'quocslib.pulses.basis.Fourier', 'basis_vector_number': 2, 'random_super_parameter_distribution': {'distribution_name': 'Uniform', 'distribution_class': 'Uniform', 'distribution_module': 'quocslib.pulses.superparameter.Uniform', 'lower_limit': 0.0, 'upper_limit': 10, 'distribution_attribute': None}, 'basis_attribute': None}, 'scaling_function': {'function_type': 'lambda_function', 'lambda_function': 'lambda t: 1.0 + 0.0*t'}, 'initial_guess': {'function_type': 'list_function', 'list_function': array([0., 0., 0., ..., 0., 0., 0.])}, 'shrink_ampl_lim': True}]
# parameters: []
# 
8.504252126063032271e-09 3.021396322522601138e-02
8.554277138569285286e-09 2.952977105056468071e-02
8.604302151075538300e-09 2.883947412604531690e-02
8.654327163581791314e-09 2.814318553741993953e-02
8.704352176088044328e-09 2.744102109937852571e-02
8.754377188594297342e-09 2.673309930866404893e-02
8.804402201100550357e-09 2.601954129595503151e-02
8.854427213606803371e-09 2.530047077652591500e-02
8.904452226113058040e-09 2.457601399969697176e-02
8.954477238619311054e-09 2.384629969708581404e-02
9.004502251125564068e-09 2.311145902967309124e-02
9.054527263631817082e-09 2.237162553369607260e-02
9.104552276138070096e-09 2.162693506538385449e-02
9.154577288644323111e-09 2.087752574454872917e-02
9.204602301150576125e-09 2.012353789704945245e-02
9.254627313656829139e-09 1.936511399614148504e-02
9.304652326163082153e-09 1.860239860273151663e-02
9.354677338669335168e-09 1.783553830455314806e-02
9.404702351175588182e-09 1.706468165428149178e-02
9.454727363681841196e-09 1.628997910660506115e-02
9.504752376188094210e-09 1.551158295427452344e-02
9.554777388694347225e-09 1.472964726314764800e-02
9.604802401200601893e-09 1.394432780625097859e-02
9.654827413706854907e-09 1.315578199687935865e-02
9.704852426213107922e-09 1.236416882075516178e-02
9.754877438719360936e-09 1.156964876726923434e-02
9.804902451225613950e-09 1.077238375982702764e-02
9.854927463731866964e-09 9.972537085322887712e-03
9.904952476238119978e-09 9.170273322767890159e-03
9.954977488744372993e-09 8.365758271095027551e-03
1.000500250125062601e-08 7.559158876167811764e-03
1.005502751375687902e-08 6.750643157018976562e-03
1.010505252626313204e-08 5.940380131345123459e-03
1.015507753876938505e-08 5.128539740285441122e-03
1.020510255127563806e-08 4.315292772512572227e-03
1.025512756378189108e-08 3.500810787663804005e-03
1.030515257628814409e-08 2.685266039142463097e-03
1.035517758879439876e-08 1.868831396319035800e-03
1.040520260130065178e-08 1.051680266162196599e-03
1.045522761380690479e-08 2.339865143318646881e-04
1.050525262631315780e-08 -5.840756142358131259e-04
1.055527763881941082e-08 -1.402331575217796722e-03
1.060530265132566383e-08 -2.220606605236015788e-03
1.065532766383191685e-08 -3.038725802598178823e-03
1.070535267633816986e-08 -3.856514208413940742e-03
1.075537768884442287e-08 -4.673796888052328749e-03
1.080540270135067589e-08 -5.490399012904739751e-03
1.085542771385692890e-08 -6.306145942419669193e-03
1.090545272636318192e-08 -7.120863306372019613e-03
1.095547773886943493e-08 -7.934377087332026429e-03
1.100550275137568795e-08 -8.746513703296392508e-03
1.105552776388194261e-08 -9.557100090444378346e-03
1.110555277638819563e-08 -1.036596378598227119e-02
1.115557778889444864e-08 -1.117293301103782117e-02
1.120560280140070166e-08 -1.197783675356591665e-02
1.125562781390695467e-08 -1.278050485122791263e-02
1.130565282641320769e-08 -1.358076807420463550e-02
1.135567783891946070e-08 -1.437845820790451500e-02
1.140570285142571371e-08 -1.517340813552705767e-02
1.145572786393196673e-08 -1.596545192044110384e-02
1.150575287643821974e-08 -1.675442488833891325e-02
1.155577788894447276e-08 -1.754016370912454825e-02
1.160580290145072577e-08 -1.832250647849678615e-02
1.165582791395697879e-08 -1.910129279918484219e-02
1.170585292646323180e-08 -1.987636386179665940e-02
1.175587793896948647e-08 -2.064756252523820834e-02
1.180590295147573948e-08 -2.141473339666238179e-02
1.185592796398199250e-08 -2.217772291090610096e-02
1.190595297648824551e-08 -2.293637940937436059e-02
1.195597798899449852e-08 -2.369055321832887195e-02
1.200600300150075154e-08 -2.444009672654046117e-02
1.205602801400700455e-08 -2.518486446226295833e-02
1.210605302651325757e-08 -2.592471316948694385e-02
1.215607803901951058e-08 -2.665950188343180205e-02
1.220610305152576360e-08 -2.738909200523459778e-02
1.225612806403201661e-08 -2.811334737579349388e-02
1.230615307653826962e-08 -2.883213434872500952e-02
1.235617808904452264e-08 -2.954532186239367669e-02
1.240620310155077565e-08 -3.025278151097237148e-02
1.245622811405703032e-08 -3.095438761449252618e-02
1.250625312656328334e-08 -3.165001728784401502e-02
1.255627813906953635e-08 -3.233955050868295850e-02
1.260630315157578936e-08 -3.302287018420819315e-02
