#Voltage(V),Current(A)
-8.50000000000011, -5.0836002075e-09
-8.49900000000011, -5.0665991402e-09
-8.498000000000111, -5.0582689148e-09
-8.497000000000112, -5.0314370448e-09
-8.496000000000112, -5.0107979988e-09
-8.495000000000113, -5.003396808e-09
-8.494000000000113, -4.9772070909e-09
-8.493000000000114, -4.9519357503e-09
-8.492000000000115, -4.9347681497e-09
-8.491000000000115, -4.935312603e-09
-8.490000000000116, -4.8932475849e-09
-8.489000000000116, -4.8937423003e-09
-8.488000000000117, -4.888837335e-09
-8.487000000000117, -4.8566439759e-09
-8.486000000000118, -4.8247188467e-09
-8.485000000000118, -4.8217962956e-09
-8.484000000000119, -4.8083266257e-09
-8.48300000000012, -4.7815991167e-09
-8.48200000000012, -4.757168881e-09
-8.48100000000012, -4.7407673343e-09
-8.480000000000121, -4.7273429615e-09
-8.479000000000122, -4.6968393619e-09
-8.478000000000122, -4.6924673036e-09
-8.477000000000123, -4.6600856507e-09
-8.476000000000123, -4.6600230341e-09
-8.475000000000124, -4.6547588006e-09
-8.474000000000125, -4.6379211582e-09
-8.473000000000125, -4.6273886944e-09
-8.472000000000126, -4.5954222649e-09
-8.471000000000126, -4.575510193e-09
-8.470000000000127, -4.5718557828e-09
-8.469000000000127, -4.5767651891e-09
-8.468000000000128, -4.5750945254e-09
-8.467000000000128, -4.5535215598e-09
-8.466000000000129, -4.5491654888e-09
-8.46500000000013, -4.5147143801e-09
-8.46400000000013, -4.519637109e-09
-8.46300000000013, -4.5158103923e-09
-8.462000000000131, -4.4972945368e-09
-8.461000000000132, -4.5046300023e-09
-8.460000000000132, -4.4795553933e-09
-8.459000000000133, -4.468159176e-09
-8.458000000000133, -4.4512482589e-09
-8.457000000000134, -4.4426076151e-09
-8.456000000000135, -4.4422407974e-09
-8.455000000000135, -4.4209480521e-09
-8.454000000000136, -4.4066768012e-09
-8.453000000000136, -4.3967363084e-09
-8.452000000000137, -4.4008894307e-09
-8.451000000000137, -4.390795727e-09
-8.450000000000138, -4.3857872889e-09
-8.449000000000138, -4.3673913375e-09
-8.448000000000139, -4.3596584121e-09
-8.44700000000014, -4.344400395e-09
-8.44600000000014, -4.3314005715e-09
-8.44500000000014, -4.3500234526e-09
-8.444000000000141, -4.3123242754e-09
-8.443000000000142, -4.3022230223e-09
-8.442000000000142, -4.289701927e-09
-8.441000000000143, -4.283499333e-09
-8.440000000000143, -4.2735619488e-09
-8.439000000000144, -4.2746766127e-09
-8.438000000000144, -4.2725836202e-09
-8.437000000000145, -4.2572372294e-09
-8.436000000000146, -4.246323293e-09
-8.435000000000146, -4.2397307887e-09
-8.434000000000147, -4.2323775595e-09
-8.433000000000147, -4.222707517e-09
-8.432000000000148, -4.2181391713e-09
-8.431000000000148, -4.2037915371e-09
-8.430000000000149, -4.198071224e-09
-8.42900000000015, -4.1918895022e-09
-8.42800000000015, -4.1909564708e-09
-8.42700000000015, -4.1659768968e-09
-8.426000000000151, -4.1682439722e-09
-8.425000000000152, -4.1424339514e-09
-8.424000000000152, -4.1438377174e-09
-8.423000000000153, -4.1352179458e-09
-8.422000000000153, -4.1270156181e-09
-8.421000000000154, -4.1309693444e-09
-8.420000000000154, -4.1229979431e-09
-8.419000000000155, -4.1131289485e-09
-8.418000000000156, -4.1104386561e-09
-8.417000000000156, -4.1087289127e-09
-8.416000000000157, -4.0989798222e-09
-8.415000000000157, -4.0937671031e-09
-8.414000000000158, -4.0872598639e-09
-8.413000000000158, -4.0822452085e-09
-8.412000000000159, -4.0723922012e-09
-8.41100000000016, -4.0642511578e-09
-8.41000000000016, -4.0637786469e-09
-8.40900000000016, -4.051293967e-09
-8.408000000000161, -4.0517811328e-09
-8.407000000000162, -4.0482222019e-09
-8.406000000000162, -4.0364964704e-09
-8.405000000000163, -4.0340770724e-09
-8.404000000000163, -4.0181271643e-09
-8.403000000000164, -4.0183887329e-09
-8.402000000000164, -4.0141499014e-09
-8.401000000000165, -4.0174099603e-09
-8.400000000000166, -4.001583509e-09
-8.399000000000166, -3.9956966624e-09
-8.398000000000167, -3.9856278278e-09
-8.397000000000167, -3.9774881166e-09
-8.396000000000168, -3.9783070171e-09
-8.395000000000168, -3.9672354291e-09
-8.394000000000169, -3.9550696052e-09
-8.39300000000017, -3.9533230023e-09
-8.39200000000017, -3.9491863113e-09
-8.39100000000017, -3.9469525426e-09
-8.390000000000171, -3.9413499131e-09
-8.389000000000172, -3.9403049712e-09
-8.388000000000172, -3.9356859993e-09
-8.387000000000173, -3.9288212683e-09
-8.386000000000173, -3.9225698245e-09
-8.385000000000174, -3.9145868769e-09
-8.384000000000174, -3.9090228832e-09
-8.383000000000175, -3.915821889e-09
-8.382000000000176, -3.8975120908e-09
-8.381000000000176, -3.8952805426e-09
-8.380000000000177, -3.8862535412e-09
-8.379000000000177, -3.8889895748e-09
-8.378000000000178, -3.8804932601e-09
-8.377000000000178, -3.8760235022e-09
-8.376000000000179, -3.8753293907e-09
-8.37500000000018, -3.8641410072e-09
-8.37400000000018, -3.8492466992e-09
-8.37300000000018, -3.8485374887e-09
-8.372000000000181, -3.8445970851e-09
-8.371000000000182, -3.8455354456e-09
-8.370000000000182, -3.8414094128e-09
-8.369000000000183, -3.8395207014e-09
-8.368000000000183, -3.8347147679e-09
-8.367000000000184, -3.8258933799e-09
-8.366000000000184, -3.8199110541e-09
-8.365000000000185, -3.816420957e-09
-8.364000000000186, -3.8086538368e-09
-8.363000000000186, -3.8096170663e-09
-8.362000000000187, -3.8082315079e-09
-8.361000000000187, -3.8055367746e-09
-8.360000000000188, -3.7953062915e-09
-8.359000000000188, -3.7874112735e-09
-8.358000000000189, -3.7868850278e-09
-8.35700000000019, -3.7871936698e-09
-8.35600000000019, -3.7855052426e-09
-8.35500000000019, -3.7897942562e-09
-8.354000000000191, -3.778612534e-09
-8.353000000000192, -3.7722611701e-09
-8.352000000000192, -3.7655079055e-09
-8.351000000000193, -3.7572007727e-09
-8.350000000000193, -3.7467944303e-09
-8.349000000000194, -3.7576639578e-09
-8.348000000000194, -3.7497711602e-09
-8.347000000000195, -3.7412148934e-09
-8.346000000000195, -3.7404097597e-09
-8.345000000000196, -3.7345602166e-09
-8.344000000000197, -3.7302649858e-09
-8.343000000000197, -3.7268117481e-09
-8.342000000000198, -3.7206202563e-09
-8.341000000000198, -3.7205691861e-09
-8.340000000000199, -3.7160354793e-09
-8.3390000000002, -3.7066743008e-09
-8.3380000000002, -3.7057459323e-09
-8.3370000000002, -3.6967802153e-09
-8.336000000000201, -3.6935687842e-09
-8.335000000000202, -3.6914935553e-09
-8.334000000000202, -3.6881597776e-09
-8.333000000000203, -3.6916443236e-09
-8.332000000000203, -3.6859533203e-09
-8.331000000000204, -3.6776637291e-09
-8.330000000000204, -3.671351223e-09
-8.329000000000205, -3.6777789703e-09
-8.328000000000205, -3.6692022753e-09
-8.327000000000206, -3.6674625559e-09
-8.326000000000207, -3.6665668279e-09
-8.325000000000207, -3.6615281918e-09
-8.324000000000208, -3.6569016704e-09
-8.323000000000208, -3.654530456e-09
-8.322000000000209, -3.6551839333e-09
-8.32100000000021, -3.6528462477e-09
-8.32000000000021, -3.6477774135e-09
-8.31900000000021, -3.6450935603e-09
-8.318000000000211, -3.6407472592e-09
-8.317000000000212, -3.6392060476e-09
-8.316000000000212, -3.6299361295e-09
-8.315000000000213, -3.6238390067e-09
-8.314000000000213, -3.6268756887e-09
-8.313000000000214, -3.6259839575e-09
-8.312000000000214, -3.6223495314e-09
-8.311000000000215, -3.6198846143e-09
-8.310000000000215, -3.6173652962e-09
-8.309000000000216, -3.6089544686e-09
-8.308000000000217, -3.6101377443e-09
-8.307000000000217, -3.6045839646e-09
-8.306000000000218, -3.6007556936e-09
-8.305000000000218, -3.5997507197e-09
-8.304000000000219, -3.5997613779e-09
-8.30300000000022, -3.595152398e-09
-8.30200000000022, -3.5904754725e-09
-8.30100000000022, -3.589547326e-09
-8.300000000000221, -3.583503716e-09
-8.299000000000222, -3.5811626997e-09
-8.298000000000222, -3.5802523168e-09
-8.297000000000223, -3.5763094708e-09
-8.296000000000223, -3.5757306005e-09
-8.295000000000224, -3.5696205991e-09
-8.294000000000224, -3.5650595809e-09
-8.293000000000225, -3.5615936866e-09
-8.292000000000225, -3.5601388504e-09
-8.291000000000226, -3.5550191679e-09
-8.290000000000227, -3.5550955513e-09
-8.289000000000227, -3.5451492852e-09
-8.288000000000228, -3.5449227997e-09
-8.287000000000228, -3.5425626876e-09
-8.286000000000229, -3.5442342394e-09
-8.28500000000023, -3.540986615e-09
-8.28400000000023, -3.5377498708e-09
-8.28300000000023, -3.5362754947e-09
-8.282000000000231, -3.5332130555e-09
-8.281000000000232, -3.5302234469e-09
-8.280000000000232, -3.5286231714e-09
-8.279000000000233, -3.5223117756e-09
-8.278000000000233, -3.5205383053e-09
-8.277000000000234, -3.5177258884e-09
-8.276000000000234, -3.5120295561e-09
-8.275000000000235, -3.5116749508e-09
-8.274000000000235, -3.5108933538e-09
-8.273000000000236, -3.5049210201e-09
-8.272000000000236, -3.5045382152e-09
-8.271000000000237, -3.5010307986e-09
-8.270000000000238, -3.5004128485e-09
-8.269000000000238, -3.4923215431e-09
-8.268000000000239, -3.4915272895e-09
-8.26700000000024, -3.4854055198e-09
-8.26600000000024, -3.4899139134e-09
-8.26500000000024, -3.4838119056e-09
-8.264000000000241, -3.4825897721e-09
-8.263000000000241, -3.4902365442e-09
-8.262000000000242, -3.4830653917e-09
-8.261000000000243, -3.4779763514e-09
-8.260000000000243, -3.4808032012e-09
-8.259000000000244, -3.4786298286e-09
-8.258000000000244, -3.4757257072e-09
-8.257000000000245, -3.469576848e-09
-8.256000000000245, -3.4669607185e-09
-8.255000000000246, -3.4646212566e-09
-8.254000000000246, -3.4638498736e-09
-8.253000000000247, -3.4593055087e-09
-8.252000000000248, -3.4581457697e-09
-8.251000000000248, -3.4571210339e-09
-8.250000000000249, -3.4564071605e-09
-8.24900000000025, -3.4562919193e-09
-8.24800000000025, -3.444855734e-09
-8.24700000000025, -3.4474931798e-09
-8.246000000000251, -3.444606822e-09
-8.245000000000251, -3.4386424819e-09
-8.244000000000252, -3.4364802115e-09
-8.243000000000253, -3.4378997427e-09
-8.242000000000253, -3.4316804953e-09
-8.241000000000254, -3.4340277288e-09
-8.240000000000254, -3.4282905403e-09
-8.239000000000255, -3.4238560875e-09
-8.238000000000255, -3.4239722169e-09
-8.237000000000256, -3.4232181534e-09
-8.236000000000256, -3.4219316269e-09
-8.235000000000257, -3.4196014909e-09
-8.234000000000258, -3.4159497453e-09
-8.233000000000258, -3.4163427642e-09
-8.232000000000259, -3.4105476221e-09
-8.23100000000026, -3.4096945267e-09
-8.23000000000026, -3.4096252488e-09
-8.22900000000026, -3.4114806535e-09
-8.22800000000026, -3.4102505264e-09
-8.227000000000261, -3.4060483323e-09
-8.226000000000262, -3.4067906274e-09
-8.225000000000263, -3.4035210206e-09
-8.224000000000263, -3.4025322559e-09
-8.223000000000264, -3.3987039849e-09
-8.222000000000264, -3.4041494068e-09
-8.221000000000265, -3.3955120937e-09
-8.220000000000265, -3.3949150158e-09
-8.219000000000266, -3.3899945073e-09
-8.218000000000266, -3.3903937435e-09
-8.217000000000267, -3.3860281246e-09
-8.216000000000268, -3.3827778356e-09
-8.215000000000268, -3.3821894174e-09
-8.214000000000269, -3.3788705167e-09
-8.21300000000027, -3.3778040365e-09
-8.21200000000027, -3.3743992045e-09
-8.21100000000027, -3.3743146055e-09
-8.21000000000027, -3.3694578239e-09
-8.209000000000271, -3.3712428404e-09
-8.208000000000272, -3.3692886259e-09
-8.207000000000273, -3.3685181311e-09
-8.206000000000273, -3.3641627262e-09
-8.205000000000274, -3.3643223762e-09
-8.204000000000274, -3.3634117713e-09
